书名,编绘,出版社,出版月份,开本,印数（千册）,页数,定价,年,来源,
孔雀翎（根据南巡秘记清史秘记）,陈履平绘,人美,8月,60,39,,0.25元,1958,Ref004: 237,
仇恨,高燕、骆永亮绘,人美,4月,,,,0.14元,1958,Ref004: 237,
尤尔科到海边去,淑均改编、周国瑾绘,人美,4月,,,,0.16元,1958,Ref004: 237,
井冈山的小姑娘,司徒园改编、高齐寰绘,人美,4月,,,,0.10元,1958,Ref004: 237,
木箱里的孩子,李今改编、孙信绘,人美,10月,,,,0.15元,1958,Ref004: 237,
斗公差,黄冠岳编、范灵绘,人美,9月,60,20,,0.21元,1958,Ref004: 237,
白衣服,北野改编、黄柯绘,人美,4月,,,,0.12元,1958,Ref004: 237,
白蚁专家,思今改编、王井绘,人美,9月,,,,0.06元,1958,Ref004: 237,
白莲花,姚舫改编、李芸生绘,人美,6月,,,,0.16元,1958,Ref004: 237,
发明牛痘的故事,马表改编、逢真改绘,人美,6月,,,,0.16元,1958,Ref004: 237,
鸟儿们找幸福,李树恺编、尹口羊、浦家祥绘,人美,8月,,,,0.18元,1958,Ref004: 237,
打姜斌,白宇改编、汪剑虹绘,人美,9月,,,,0.14元,1958,Ref004: 237,
石碣村,墨浪绘,人美,2月,,,,1.60元,1958,Ref004: 237,
他的路走对了,子聪改编、刘景山、侯金才绘,人美,10月,,,,0.07元,1958,Ref004: 237,
电脑,迟叔昌、于止编、沈培绘,人美,5月,,,,0.21元,1958,Ref004: 237,
布谷鸟又叫了,叶惠元改编、邵晶坤绘,人美,6月,,,,0.20元,1958,Ref004: 237,
石英姑娘,惠元改编、干士绘,人美,6月,,,,0.14元,1958,Ref004: 237,
甘薯的好处说不完,粮食报社编、高燕绘,人美,9月,,,,,1958,Ref004: 237,
可爱的洋娃娃,鲁风编、邬强绘,人美,11月,,,,0.11元,1958,Ref004: 237,
尼克和尼娜,王礼平编译、胡伯华绘,人美,6月,,,,0.18元,1958,Ref004: 237,
礼物的秘密,何寄梅改编、孙志宝绘,人美,4月,,,,0.18元,1958,Ref004: 237,
四十年的愿望,曹作锐改编、张汝济绘,人美,11月,,,,0.14元,1958,Ref004: 237,
召树屯和喃诺娜,阿秀编、程十发绘,人美,10月,40,7.5,,0.23元,1958,Ref004: 237,
台湾海峡的春汛,赵越绘,人美,12月,60,,,0.12元,1958,Ref004: 237,
未过门的媳妇,常庚西编、沙更思、吴静波绘,人美,1月,60,10,,0.16元,1958,Ref004: 238,
永不褪色的荣誉,辛束编、杨英镖绘,人美,11月,60,,,0.06元,1958,Ref004: 238,
北蜂窝门市部,北京市商业财政金融工会编、陆延岭绘,人美,12月,60,,,0.08元,1958,Ref004: 238,
师长政委当兵记,子聪改编、王重义绘,人美,12月,60,,,0.05元,1958,Ref004: 238,
衣帽坟,辛束改编、张乃光、郑丽瀛绘,人美,12月,60,,,0.05元,1958,Ref004: 238,
好社长,李亚、何小小编绘,人美,12月,60,,,0.07元,1958,Ref004: 238,
她为了谁,张玮编,人美,12月,60,,,0.07元,1958,Ref004: 238,
她冲上去了,金千里改编、杜中兴绘,人美,12月,60,,,0.04元,1958,Ref004: 238,
西大街储蓄所,北京市商业财政金融工会编、李芸生绘,人美,12月,60,,,0.06元,1958,Ref004: 238,
在毛主席的周围,白宇改编、刘永凯等绘,人美,11月,60,,,0.22元,1958,Ref004: 238,
百花记,魏源改编、王左英绘,人美,11月,60,,,0.22元,1958,Ref004: 238,
在人间,高尔基原作、董洪元绘,人美,12月,60,45,,0.27元,1958,Ref004: 238,
地雷搬家,伊真改编、杜荣尧绘,人美,9月,60,40,,0.12元,1958,Ref004: 238,
地下堡垒,一帆改编、徐进绘,人美,3月,60,70,,0.16元,1958,Ref004: 238,
地下水道的故事,辛束编、肖林绘,人美,11月,,,,0.08元,1958,Ref004: 238,
地窑的钥匙,卡尔・威根原著、董福章译,人美,4月,,,,0.21元,1958,Ref004: 238,
地下的春天,解博学绘,人美,4月,,,,0.26元,1958,Ref004: 238,
红萝卜,凤池改编、王正文绘,人美,10月,,,,0.13元,1958,Ref004: 238,
红军女战士,百友编、王恩盛绘,人美,7月,60,,,0.16元,1958,Ref004: 238,
妈妈,王士之改编、罗盘绘,人美,4月,,,,0.13元,1958,Ref004: 238,
妈妈开会去的一天,卢光照改编、俞惜阴绘,人美,4月,,,,0.18元,1958,Ref004: 238,
在无名的高地上,卫羊改编、刘砖绘,人美,4月,60,60,,0.15元,1958,Ref004: 238,
在康布尔草原上,曹作锐改编、罗承力、米英绘,人美,6月,,,,0.42元,1958,Ref004: 238,
在跃进中,蒋秒、白宇改编、钟志宏、王兆相绘,人美,9月,60,15,,0.13元,1958,Ref004: 238,
在美国的一个小饭店里,张西洛、华君武改编,人美,5月,40,11,,0.25元,1958,Ref004: 238,
有眼无珠,金戈编、徐余兴绘,人美,11月,,,,0.13元,1958,Ref004: 238,
有趣的旅行,何伟描绘,人美,4月,,,,0.18元,1958,Ref004: 238,
当煤生气的时候,孙季作诗、柏容绘,人美,6月,,,,0.10元,1958,Ref004: 238,
当危难的时候,郑豪季等绘,人美,8月,60,19,,0.14元,1958,Ref004: 238,
好人田木瓜,舒君改编、纪虹、宴文正绘,人美,10月,60,,,0.08元,1958,Ref004: 238,
刘介梅忘本回头,"""刘介梅今昔生活、对比展览会""供稿",人美,2月,,,,0.33元,1958,Ref004: 238,
老汉送伏老,起雄绘,人美,3月,,,,0.24元,1958,Ref004: 238,
伏虎记,白宇改编、陆俨少绘,人美,7月,60,,,0.17元,1958,Ref004: 238,
欢乐之歌,张汉青改编、张白羽绘,人美,9月,,,,0.18元,1958,Ref004: 238,
她是老乡,张岳健绘,人美,8月,,,,0.18元,1958,Ref004: 238,
关不住的姑娘,阿章改编、盛此君绘,人美,9月,,,,0.06元,1958,Ref004: 238,
同胞姊妹,子如改编、康济绘,人美,3月,,,,,1958,Ref004: 238,
找岔,应并编、戴敦邦绘,人美,11月,60,,,0.09元,1958,Ref004: 238,
西厢记,洪曾玲改编、王叔晖绘,人美,2月,,,,1.60元,1958,Ref004: 238,
光荣的胜利,沈影泉编绘,人美,6月,,,,0.21元,1958,Ref004: 238,
血手印,陈嘉章改编、王井绘图,人美,5月,,,,0.19元,1958,Ref004: 238,
我要读书,王绪阳、贲庆余绘,人美,6月,,,,1.00元,1958,Ref004: 238,
我和宋老师,徐立功改编、毛用坤绘,人美,11月,60,50,,0.10元,1958,Ref004: 238,
杨七郎打擂（杨家将之二）,张令涛、胡若佛绘,人美,8月,,,,0.27元,1958,Ref004: 238,
杨根思,一帆改编、贺友直绘,人美,1月,60,400,,0.27元,1958,Ref004: 238,
两只眼睛,潘润璋改编、梁容慕、曲则成绘,人美,8月,,,,0.13元,1958,Ref004: 239,
两头空,展弓、金乃祥改编、吴静波、钟一鸾绘,人美,7月,,,,0.15元,1958,Ref004: 239,
两个将军,柯岩作诗、张鸾绘,人美,10月,,,,0.14元,1958,Ref004: 239,
两个废件,谭云森改编、杜中兴、杜明岑绘,人美,9月,,,,0.12元,1958,Ref004: 239,
两社之间,李抹陈改编、白炎绘,人美,6月,,,,0.13元,1958,Ref004: 239,
快乐鸟,王礼平改编、程修绘,人美,11月,,,,0.13元,1958,Ref004: 239,
苏皎皎,丁善葆改编、朱光玉绘,人美,7月,60,68,,0.17元,1958,Ref004: 239,
李秀成,沈起伟编、蒋萍绘,人美,6月,60,,,0.28元,1958,Ref004: 239,
足球赛后,廖英改编、程修绘,人美,9月,,,,0.09元,1958,Ref004: 239,
宋金郎,竹山、茜竹改编、袁飞绘,人美,8月,,,,0.12元,1958,Ref004: 239,
劳动与爱情,金蟾编、苏诗敏绘,人美,11月,60,50,,0.12元,1958,Ref004: 239,
快乐的小熊,石浔编、何玉门绘,人美,5月,,,,0.17元,1958,Ref004: 239,
弟弟小青,朱天改编、杜春甫、刘微绘,人美,4月,,,,0.20元,1958,Ref004: 239,
村姑娘,李力群、高焰编、李天心绘,人美,4月,,,,0.20元,1958,Ref004: 239,
花母鸡,张翔编绘,人美,9月,,,,0.11元,1958,Ref004: 239,
姊妹劫,曹石燕改编、张鹿山绘,人美,9月,,,,0.17元,1958,Ref004: 239,
没有眼睛的战士,鄂允文编、尚君砺绘,人美,7月,,,,0.14元,1958,Ref004: 239,
这是什么鸟,双人改编、吴志超绘,人美,6月,,,,0.14元,1958,Ref004: 239,
杜二嫂要分家,徐文华编、郭燕绘,人美,9月,,,,0.13元,1958,Ref004: 239,
芦花记,程新编、刘王斌绘,人美,7月,,,,0.20元,1958,Ref004: 239,
苍蝇变大象,王桌君改编、刘传业绘,人美,6月,,,,0.12元,1958,Ref004: 239,
宝石姻缘,米立改编、董洪元绘,人美,5月,,,,0.11元,1958,Ref004: 239,
宝山开花,冯香生改编、王物怡绘,人美,11月,60,50,,0.10元,1958,Ref004: 239,
金星英雄,晨钟改编、铁生绘图,人美,5月,,,,0.15元,1958,Ref004: 239,
金竹寺,牛星垣改编、吴敏绘,人美,9月,,,,0.13元,1958,Ref004: 239,
金海接媳妇,冯仪改编、谷林绘,人美,11月,60,50,,0.13元,1958,Ref004: 239,
青年近卫军,王素改编、华三川绘,人美,1月,60,58,,0.43元,1958,Ref004: 239,
青年猎手,史立成改编、郁家伦绘,人美,6月,60,290,,0.16元,1958,Ref004: 239,
青龙山（岳传之四）,冯香生改编、凌涛绘,人美,10月,,,,0.22元,1958,Ref004: 239,
拉郎配（戏曲故事库）,炳瑾改编、吴敏绘,人美,8月,,,,0.12元,1958,Ref004: 239,
拉粪,米立改编、金宝临绘,人美,10月,,,,0.05元,1958,Ref004: 239,
岳飞出世（岳传之一）,高梅仪改编、刘锡永、王亦秋绘,人美,9月,,,,0.27元,1958,Ref004: 239,
岳母刺字（岳传之三）,汪玉山绘,人美,1月,60,,,0.30元,1958,Ref004: 239,
幸福花开,青冰编、振业绘,人美,10月,,,,0.12元,1958,Ref004: 239,
苗族英雄,百友改编、张载绘,人美,4月,,,,0.14元,1958,Ref004: 239,
抱孙,北京建院勤工俭学组改编、曹世琦绘,人美,11月,60,50,,0.08元,1958,Ref004: 239,
夜奔盘山,小流改编、程修绘,人美,6月,,,,0.23元,1958,Ref004: 239,
盲老师,仇重改编、杨英镖绘,人美,6月,,,,0.11元,1958,Ref004: 239,
斩黄袍,金戈改编、王靖渊绘,人美,7月,,,,0.20元,1958,Ref004: 239,
"奇妙的""两层楼""",辛束改编、邵国环绘,人美,9月,,,,0.04元,1958,Ref004: 239,
表的故事,白宇改编、刘禾绘,人美,6月,,,,0.12元,1958,Ref004: 239,
姑娘和八哥鸟,程十发绘,人美,4月,20,5.5,,0.97元,1958,Ref004: 239,
诚实的孩子,蒋荣先绘,人美,9月,,,,0.08元,1958,Ref004: 239,
青枝绿叶红花开,叶惠元改编、锺志宏绘,人美,12月,60,,,0.20元,1958,Ref004: 239,
斧头将军,周存绪改编、吕康德绘,人美,11月,60,,,0.10元,1958,Ref004: 239,
罗大婶娶媳妇,左军改编、曹世琦绘,人美,12月,60,,,0.09元,1958,Ref004: 239,
孟县人民大办工业,子聪改编、徐肃绘,人美,11月,60,,,0.06元,1958,Ref004: 239,
保守派服输记,大方改编、张翔绘,人美,11月,60,,,0.04元,1958,Ref004: 240,
勇敢的天鹰,诸辛改编、徐家竑绘,人美,11月,60,,,0.10元,1958,Ref004: 240,
春夜,章程改编、沈原野绘,人美,12月,60,,,0.15元,1958,Ref004: 240,
活神农大闹五台山,苏光、李济远编绘,人美,12月,60,,,0.09元,1958,Ref004: 240,
活鲁班白对,子聪编、蔡千音等绘,人美,12月,60,,,0.10元,1958,Ref004: 240,
钢铁姑娘,金千里改编、徐进绘,人美,12月,60,,,0.04元,1958,Ref004: 240,
炼铝能手李万文,金重编、侯金才绘,人美,12月,60,,,0.06元,1958,Ref004: 240,
养猪姑娘张小好,金千里编、陈烟帆绘,人美,12月,60,,,0.06元,1958,Ref004: 240,
战斗在煤田上,武建明编、解博学绘,人美,11月,62,50,,0.18元,1958,Ref004: 240,
战火中的青春,朱诚荣编绘,人美,9月,,,,0.17元,1958,Ref004: 240,
战地兵工厂厂长,唐剑编、陈云华绘,人美,2月,,,,0.11元,1958,Ref004: 240,
修车记,陈念云编、郑家声绘,人美,9月,60,70,,0.09元,1958,Ref004: 240,
带枪的人,黎新生编、康济绘,人美,4月,60,132,,0.22元,1958,Ref004: 240,
春灯谜,曹尔泗改编、余兴绘,人美,7月,,,,0.20元,1958,Ref004: 240,
春夜的梦,朱天改编、徐竟辞绘,人美,5月,,,,0.24元,1958,Ref004: 240,
看不见的敌人,黄洵瑞改编、李天心绘,人美,5月,60,50,,0.12元,1958,Ref004: 240,
看瓜,吴国俊改编、朱章超绘,人美,6月,,,,0.16元,1958,Ref004: 240,
剑的故事,钦俊人编、李成勋绘,人美,4月,,,,0.16元,1958,Ref004: 240,
剑与火（一）,淑均改编、胡祖清绘,人美,4月,60,,,0.12元,1958,Ref004: 240,
剑与火（二）,淑均改编、胡祖清绘,人美,8月,60,,,0.13元,1958,Ref004: 240,
姚长子,丁善葆改编、虞富春绘,人美,4月,,,,0.17元,1958,Ref004: 240,
逃学,卢光照改编,人美,5月,,,,0.13元,1958,Ref004: 240,
美妙的杂技表演,刘煜城绘,人美,11月,,,,0.18元,1958,Ref004: 240,
骄傲的八只脚,周存绪改编、吕晋、韩斌绘,人美,6月,,,,0.16元,1958,Ref004: 240,
追踪游魂,柳成行改编、凌健、汪观清绘,人美,4月,60,50,,0.27元,1958,Ref004: 240,
种子状元,波心改编、赵隆义等绘,人美,11月,60,50,,0.07元,1958,Ref004: 240,
荡发塘,辛束改编、方菁绘,人美,10月,,,,0.05元,1958,Ref004: 240,
项链,刘毓敏改编、华三川绘,人美,8月,60,17.5,,0.11元,1958,Ref004: 240,
珍珠姑娘,管桦编、胡少飞绘,人美,8月,,,,0.11元,1958,Ref004: 240,
挺进报,华利改编、周雪芬、殷全元绘,人美,9月,,,,0.11元,1958,Ref004: 240,
神箭,韩伟编绘,人美,6月,,,,0.12元,1958,Ref004: 240,
帝女雀填海,万赖鸣绘,人美,6月,,,,0.20元,1958,Ref004: 240,
是谁犯了罪？,邹绿芷改编、杨逸麟绘,人美,11月,60,30,,0.12元,1958,Ref004: 240,
捉纺织娘,蒋萍、正祺编、罗吉明绘,人美,9月,,,,0.16元,1958,Ref004: 240,
捉獾记,廖英改编、俞惜阴绘,人美,3月,,,,0.13元,1958,Ref004: 240,
高鼻子和短尾巴,白宇改编,人美,8月,,,,0.21元,1958,Ref004: 240,
海燕追朝阳,北京建院勤工俭学组改编、赵仁年、范志泉绘,人美,9月,,,,0.09元,1958,Ref004: 240,
钻机旁的姑娘,杨淼改编、高燕、张文藻绘,人美,9月,,,,0.12元,1958,Ref004: 240,
格兰特船长的儿女,落霞改编、陈烟帆绘图,人美,5月,,,,0.31元,1958,Ref004: 240,
桂公塘,沪民、尹元洪改编、尹元洪绘,人美,4月,,,,0.18元,1958,Ref004: 240,
绣鞋记,董维贤改编、马晋、朱丹枫绘,人美,5月,,,,0.18元,1958,Ref004: 240,
捕鼠专家曹依秀,波心改编、任率英绘,人美,10月,,,,0.06元,1958,Ref004: 240,
流浪汉入狱记,江有生编绘,人美,11月,60,39,,0.11元,1958,Ref004: 240,
铁水奔流,惠元改编、费声福绘,人美,,,,,,1958,Ref004: 241,
铁蜡烛,尤国华改编、张洪宝绘,人美,12月,60,,,0.11元,1958,Ref004: 241,
黄花峪,卜孝怀、李大成绘,人美,12月,60,,,0.16元,1958,Ref004: 241,
掩护,史立成改编、张清岩绘,人美,12月,60,100,,0.15元,1958,Ref004: 241,
敢做敢为出奇迹,思今改编、刘景山绘,人美,10月,,,,0.04元,1958,Ref004: 241,
第一辆木汽车,徐兢辞改编、朱庆祺绘,人美,9月,,,,0.06元,1958,Ref004: 241,
烽火中的山村,石榴笑骗、李国基、王树薇绘,人美,4月,,,,0.20元,1958,Ref004: 241,
船厂追踪,白宇改编、李天心绘,人美,11月,60,50,,0.10元,1958,Ref004: 241,
眼泪链,孙季改编、孙世涛绘,人美,9月,,,,0.10元,1958,Ref004: 241,
黄金婵,盛焕文绘,人美,9月,,,,0.20元,1958,Ref004: 241,
菠萝飘香的季节,苗歌编、程十发绘,人美,4月,,,,0.28元,1958,Ref004: 241,
渔家女,思今改编、吕连生绘,人美,10月,,,,0.11元,1958,Ref004: 241,
野火烧不尽,严岩、章捷改编、友梅绘,人美,7月,,,,0.32元,1958,Ref004: 241,
普通人的光荣,马成烈编、冒怀苏绘,人美,9月,,,,0.14元,1958,Ref004: 241,
篓拉姑娘,辕吉主编、陶琦绘,人美,10月,,,,0.12元,1958,Ref004: 241,
渡海归来,韩自德、陈韵梅编、郭德训绘,人美,4月,,,,0.18元,1958,Ref004: 241,
遂平卫星人民公社,遂平县委宣传部编绘,人美,9月,,,,0.21元,1958,Ref004: 241,
董存瑞,罗盘,人美,,48,,,,1958,Ref004: 241,
最好的故事,吴其柔改编、俞惜阴绘,人美,8月,,,,0.12元,1958,Ref004: 241,
越狱记,任慧改编、刘开基、柳敏绘,人美,11月,40,,,0.24元,1958,Ref004: 241,
智智到了花生国,高伯彭、贾工改编、邵国寰绘,人美,10月,,,,0.09元,1958,Ref004: 241,
滚绣球,幸之改编、曹世琦绘,人美,7月,,,,0.16元,1958,Ref004: 241,
登高英雄,百友改编、龙有中绘,人美,6月,60,670,,0.28元,1958,Ref004: 241,
游击队员小精灵,百友编、皮之先绘,人美,5月,,,,0.15元,1958,Ref004: 241,
喜事,谢孟祥等原作、刘起、金洪改编、中央美术学院油画系一年级集体绘,人美,10月,60,20,,0.12元,1958,Ref004: 241,
一智取庐州府,缪式桓编、虞富春绘,人美,10月,60,,,0.15元,1958,Ref004: 241,
意中缘,颜长诃改编、张玮绘,人美,9月,60,,,0.20元,1958,Ref004: 241,
新年之夜,房亚田编、金宝临绘,人美,9月,,,,0.11元,1958,Ref004: 241,
新式农具手,赵仁年、徐进绘,人美,9月,,,,0.07元,1958,Ref004: 241,
群擒小白龙,王佳奎编、汪继声绘,人美,9月,,,,0.14元,1958,Ref004: 241,
瑞英下乡的时候,左军改编、王鸿绘,人美,10月,,,,0.12元,1958,Ref004: 241,
聪明的八哥鸟,裘露改编、赵隆义绘,人美,12月,60,,,0.08元,1958,Ref004: 241,
薛仁贵与柳金花,卢世澄改编、卢汶绘,人美,11月,,,,0.25元,1958,Ref004: 241,
藕塘关（岳传之七）,刘锡永、王亦秋绘,人美,11月,,,,0.25元,1958,Ref004: 241,
一只鞋,炳瑾改编、张岳健绘,朝花,3月,,,,0.12元,1958,Ref004: 241,
人民的女儿,许汀改编、沈原野绘,朝花,2月,60,60,,0.16元,1958,Ref004: 241,
三座桥,樊霁蜂改编、水天宏绘,朝花,3月,,,,0.17元,1958,Ref004: 241,
大刚和小晚的一天,朱天改编、刘玉环绘,朝花,12月,,,,0.19元,1958,Ref004: 241,
大名府（水浒之十九）,李树平改编、陈缘督绘,朝花,1月,,,,0.44元,1958,Ref004: 241,
小林接妈妈,朱磊、陈徵莱编、邬强绘,朝花,1月,,,,0.17元,1958,Ref004: 241,
小耗子过生日,思佳配文、郑火星绘,朝花,2月,,,,0.17元,1958,Ref004: 241,
小侦察兵,文平改编、刘明义、刘开基绘,朝花,3月,,,,0.18元,1958,Ref004: 241,
小白兔的故事,廖英改编、杜春甫、刘微绘,朝花,3月,,,,0.23元,1958,Ref004: 242,
小过年,金戈改编、范灵绘,朝花,2月,,,,0.16元,1958,Ref004: 242,
金鸡,汪继声、杨锦文绘,朝花,2月,,,,0.28元,1958,Ref004: 242,
金钥匙,陆石改编、郑丽瀛、王今栋绘,朝花,2月,,,,0.21元,1958,Ref004: 242,
枣红马和骆驼,萧甘牛、萧丁三编、何玉门绘,朝花,2月,,,,0.12元,1958,Ref004: 242,
马戏团三兄弟,李之林描绘,朝花,2月,,,,0.12元,1958,Ref004: 242,
巴德马,梁泊编、张孝友绘,朝花,1月,,,,0.12元,1958,Ref004: 242,
毛毛的雨衣,解秋君改编、毛用坤绘,朝花,2月,,,,0.12元,1958,Ref004: 242,
友好的帮助,沈沂、吕才德编、乃光、吕才德绘,朝花,1月,,,,0.17元,1958,Ref004: 242,
友谊和爱情,叶惠元改编、王格绘,朝花美术,2月,,,,0.20元,1958,Ref004: 242,
打猪草,葛文编、白炎绘,朝花,3月,,,,0.16元,1958,Ref004: 242,
打狼救马,小流改编、刘文西等绘,朝花,3月,,,,0.19元,1958,Ref004: 242,
未过门的媳妇,常庚西编、沙更思、吴静波绘,朝花,1月,,,,0.16元,1958,Ref004: 242,
老翁泉,萧甘牛编、李天心绘,朝花,2月,,,,0.19元,1958,Ref004: 242,
地道里的小海军,小流改编、何伟描绘,朝花,4月,,,,0.20元,1958,Ref004: 242,
好入迷的辽瓦,杨梦昶改编、朱然绘,朝花,1月,,,,0.17元,1958,Ref004: 242,
考验,江南春绘,朝花,2月,,,,0.22元,1958,Ref004: 242,
乔老爷上轿,金戈改编、房绍青绘,朝花,3月,,,,0.20元,1958,Ref004: 242,
米巴的歌,夏耘改编、莫更原绘,朝花,3月,,,,0.16元,1958,Ref004: 242,
杨业归宋（杨家将之一）,张令涛、胡若佛绘,朝花,2月,,,,0.26元,1958,Ref004: 242,
驴子和它的朋友,周存绪改编、段俊绘,朝花,3月,,,,0.18元,1958,Ref004: 242,
张开翅膀飞呀,寒卓改编、肖林绘,朝花,2月,60,23.8,,0.20元,1958,Ref004: 242,
李逵元宵闹东京,卜孝怀绘,朝花,3月,,,,0.21元,1958,Ref004: 242,
沙漠中的河流,李志刚改编、戈辛锷、戈永良绘,朝花,3月,60,,,0.12元,1958,Ref004: 242,
没有算术的国家,卢济恩改编、徐竟辞绘,朝花,2月,,,,0.13元,1958,Ref004: 242,
枪,王玳改编、刘传邺绘,朝花,2月,,,,0.14元,1958,Ref004: 242,
枪挑小梁王（岳传之二）,高梅仪改编、赵三岛、严绍唐、朱元红等绘,朝花,2月,,,,0.29元,1958,Ref004: 242,
金玲和喜春,钟焕言改编、罗枫绘,朝花,1月,,,,0.14元,1958,Ref004: 242,
奇怪的数目字,周存绪改编、叶振兴、胡照华绘,朝花,1月,,,,0.18元,1958,Ref004: 242,
饲养能手,章捷改编、张孝光绘,朝花,1月,,,,0.11元,1958,Ref004: 242,
奇花公主,岁勤改编、韩永安绘,朝花,2月,60,61,,0.18元,1958,Ref004: 242,
苗山情侣,杨永青绘,朝花,2月,,,,0.18元,1958,Ref004: 242,
岳母刺字,汪玉山绘,朝花,1月,,,,0.30元,1958,Ref004: 242,
虎食,孔德咏改编、景森、景初绘,朝花,2月,,,,0.14元,1958,Ref004: 242,
总有一天,黄远改编、孙铁生绘,朝花,2月,,,,0.30元,1958,Ref004: 242,
赵信的春假,黄伞改编、戴敦邦绘,朝花,4月,,,,0.18元,1958,Ref004: 242,
拜月记,阎大方改编、宗静风绘,朝花,4月,60,36,,0.21元,1958,Ref004: 242,
哈尼族女工,叶惠元改编、周惠英、赵友萍绘图,朝花,4月,,,,0.14元,1958,Ref004: 242,
昭君出塞,高梅仪改编I康殷绘,朝花,3月,,,,0.21元,1958,Ref004: 242,
勇敢的扎西,刘炜改编、何志强绘,朝花,1月,,,,0.12元,1958,Ref004: 242,
骄傲的小鹿,程新编、刘圻绘,朝花,3月,,,,0.17元,1958,Ref004: 242,
爱莉和吉美,王荣惠改编、胡克礼绘,朝花,6月,,,,0.16元,1958,Ref004: 242,
野东西,潭蜀人改编、浦家祥绘,朝花,6月,,,,0.16元,1958,Ref004: 242,
望夫云,杨沛霖改编、金明非绘,朝花,4月,,,,0.21元,1958,Ref004: 242,
敬德装疯（戏曲故事画库）,张鹿山绘,朝花,1月,,,,0.15元,1958,Ref004: 242,
跳伞,赵振南编、毛用坤绘,朝花,3月,,,,0.16元,1958,Ref004: 242,
燕青打擂（水浒之二十三）,卜孝怀绘图,朝花,5月,,,,0.18元,1958,Ref004: 242,
一个新足球（电影连环画册）,章超群改编,中国电影,6月,,,,0.10元,1958,Ref004: 242,
一仆二主（电影连环画册）,董玉改编,中国电影,9月,,,,0.20元,1958,Ref004: 243,
306号案件（电影连环画册）,周成正改编,中国电影,4月,,,,0.28元,1958,Ref004: 243,
一日千里,于思改编,中国电影,12月,60,,,0.18元,1958,Ref004: 243,
20天革个命（电影连环画册）,周成正改编,中国电影,12月,60,,,0.21元,1958,Ref004: 243,
十三陵水库畅想曲,陈澈改编,中国电影,12月,60,,,0.34元,1958,Ref004: 243,
人民公社好（电影连环画册）,中国电影出版社编,中国电影,12月,60,,,0.16元,1958,Ref004: 243,
十块美金（电影连环画册）,周成正改编,中国电影,3月,,,,0.30元,1958,Ref004: 243,
十字街头（电影连环画册）,毕挥改编,中国电影,7月,,,,0.26元,1958,Ref004: 243,
人民公社红旗飘（电影连环画）,中国电影出版社编,中国电影,11月,,,,0.18元,1958,Ref004: 243,
厂穷志不穷（电影连环画）,中国电影出版社编,中国电影,11月,,,,0.11元,1958,Ref004: 243,
三年工程二十天完成（电影连环画册）,中国电影出版社编,中国电影,11月,60,,,0.10元,1958,Ref004: 243,
三百年前（电影连环画册）,叶宏材改编,中国电影,9月,60,,,0.26元,1958,Ref004: 243,
大红花（电影连环画册）,上海美术制片厂供稿、中国电影出版社编,中国电影,9月,60,,,0.17元,1958,Ref004: 243,
大风浪里的小故事（电影连环画册）,李路改编,中国电影,9月,60,,,0.37元,1958,Ref004: 243,
小点心（电影连还画册）,周成正改编、谷梅、樊楠改画,中国电影,5月,60,,,0.19元,1958,Ref004: 243,
土方炉炼铁（电影连还画册）,冶金工业出版社、中国电影出版社编,冶金工业、中国电影,12月,60,30,,0.11元,1958,Ref004: 243,
马（电影连环画册）,周成正改编,中国电影,3月,60,,,0.17元,1958,Ref004: 243,
小木克（电影连环画册）,盛华改编,中国电影,9月,60,,,0.23元,1958,Ref004: 243,
小转炉炼钢,冶金工业、中国电影出版社编,冶金工业、中国电影,12月,48,,,0.16元,1958,Ref004: 243,
土法炼钢,文启编,冶金工业、中国电影,12月,48,,,0.16元,1958,Ref004: 243,
女篮五号,文飘改编,中国电影,6月,60,,,0.29元,1958,Ref004: 243,
马歇尔，欢迎你!（电影连环画册）,高英改编,中国电影,3月,60,,,0.27元,1958,Ref004: 243,
为祖国而战（电影连环画册）,少宏改编,中国电影,11月,60,,,0.30元,1958,Ref004: 243,
化学兵学校（电影连环画册）,孙青改编,中国电影,11月,60,,,0.13元,1958,Ref004: 243,
长空比翼,李苏军改编,中国电影,10月,60,,,0.25元,1958,Ref004: 243,
水,盛华改编,中国电影,3月,60,,,0.23元,1958,Ref004: 243,
友与爱,孙青改编,中国电影,5月,60,,,0.24元,1958,Ref004: 243,
五支歌,汪亚华改编,中国电影,6月,60,,,0.26元,1958,Ref004: 243,
为祖国而战（电影连环画册）,少宏改编,中国电影,11月,60,,,0.30元,1958,Ref004: 243,
天职（电影连环画册）,周成正改编,中国电影,4月,60,,,0.32元,1958,Ref004: 243,
不平凡的夏天（电影连环画册）,南榴改编,中国电影,11月,60,,,0.34元,1958,Ref004: 243,
不同的命运（电影连环画册）,马蓝改编,中国电影,10月,60,,,0.20元,1958,Ref004: 243,
乌里扬诺夫一家（电影连环画册）,司空冠改编,中国电影,10月,60,,,0.20元,1958,Ref004: 243,
水库上的歌声（电影连环画册）,孙青改编,中国电影,9月,,,,0.20元,1958,Ref004: 243,
五更寒（电影连环画册）,周成正改编,中国电影,6月,,,,0.30元,1958,Ref004: 243,
长江大桥（电影连环画册）,关贵楷改编,中国电影,3月,,,,0.14元,1958,Ref004: 243,
心儿在歌唱（电影连环画册）,金白改编,中国电影,10月,,,,0.20元,1958,Ref004: 243,
